,Values (all in base SI units)
name,panel_0_iter-0.0.0001
n_holes_f,1
n_holes_b,1
thickness_f,0.0005
thickness_b,0.0005
bolt_diam,0.002
material,7075-T6
number,6
mass,0.013574111820150375
