,Values (all in base SI units)
name,panel_1_iter-0.0.0006
n_holes_f,2
n_holes_b,3
thickness_f,0.0004
thickness_b,0.0012
bolt_diam,0.001
material,7075-T6
number,2
mass,0.00641735245570038
