,Values (all in base SI units)
name,panel_0_iter-0.0.0006
n_holes_f,3
n_holes_b,2
thickness_f,0.0004
thickness_b,0.0008
bolt_diam,0.001
material,7075-T6
number,2
mass,0.006432303062099872
