,Values (all in base SI units)
name,panel_1_iter-0.0.0004
n_holes_f,1
n_holes_b,1
thickness_f,0.0008
thickness_b,0.0008
bolt_diam,0.002
material,7075-T6
number,3
mass,0.006997644438628554
