,Values (all in base SI units)
name,panel_1_iter-0.0.0003
n_holes_f,2
n_holes_b,2
thickness_f,0.0007
thickness_b,0.0014
bolt_diam,0.002
material,7075-T6
number,5
mass,0.022911679080650886
