,Values (all in base SI units)
name,panel_0_iter-0.0.0003
n_holes_f,1
n_holes_b,1
thickness_f,0.0007
thickness_b,0.0007
bolt_diam,0.002
material,7075-T6
number,4
mass,0.009236597683258798
