,Values (all in base SI units)
name,panel_0_iter-0.0.0005
n_holes_f,1
n_holes_b,2
thickness_f,0.0006
thickness_b,0.0012
bolt_diam,0.002
material,7075-T6
number,2
mass,0.006488708573175392
