,Values (all in base SI units)
name,panel_1_iter-0.0.0010
n_holes_f,4
n_holes_b,2
thickness_f,0.0008
thickness_b,0.0016
bolt_diam,0.002
material,7075-T6
number,2
mass,0.014034242600287645
