,Values (all in base SI units)
name,panel_2_iter-0.0.0000
n_holes_f,1
n_holes_b,1
thickness_f,0.0011
thickness_b,0.0011
bolt_diam,0.005
material,7075-T6
number,6
mass,0.049152487469680074
