,Values (all in base SI units)
name,panel_2_iter-0.0.0010
n_holes_f,1
n_holes_b,2
thickness_f,0.002
thickness_b,0.004
bolt_diam,0.004
material,7075-T6
number,2
mass,0.01733432638525523
